id,value
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.0.195,3471
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.1.0.56,3482
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.0.1.1.156,3482
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.0.98,3473
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.1.0.14,3486
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.0.1.1.1.1.1.1.166,3486
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.0.153,3392
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.0.97,3434
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.0.116,3447
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.0.105,3459
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.1.0.135,3469
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.0.1.1.1.1.172,3469
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.0.158,3438
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.0.42,3456
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.0.181,3485
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.1.0.24,3494
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.0.1.1.196,3494
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.1.0.159,3485
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.210,3485
root.1.1.1.1.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.0.163,3225
root.1.1.1.1.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.0.0.186,3287
root.1.1.1.1.0.1.1.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.0.1.0.61,3296
root.1.1.1.1.0.1.1.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.0.1.1.84,3296
root.1.1.1.1.0.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.0.147,3415
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.0.66,3432
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.0.76,3445
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.1.0.155,3456
